Date,Carysfort_Reef,North_Dry_Rocks,Grecian_Rocks,Pickles_Reef
20180101,25.35,24.46,24.46,25.1
20180102,24.99,24.12,24.12,24.65
20180103,25.07,24.17,24.17,24.83
20180104,24.89,24.17,24.17,24.87
20180105,24.77,24.18,24.18,24.91
20180106,24.88,24.24,24.24,24.91
20180107,24.32,23.39,23.39,24.06
20180108,24.14,22.96,22.96,23.87
20180109,24.04,22.93,22.93,23.71
20180110,24.7,23.7,23.7,24.6
20180111,24.82,23.99,23.99,24.66
20180112,24.85,24.28,24.28,24.79
20180113,24.47,23.92,23.92,24.31
20180114,24.52,23.86,23.86,24.35
20180115,24.67,23.87,23.87,24.38
20180116,24.7,23.94,23.94,24.45
20180117,24.07,23.29,23.29,23.95
20180118,23.9,23.21,23.21,23.93
20180119,24.14,23.31,23.31,23.99
20180120,24.29,23.27,23.27,23.85
20180121,24.17,22.95,22.95,23.4
20180122,23.97,22.61,22.61,23.24
20180123,24.02,22.61,22.61,23.33
20180124,24.17,23.14,23.14,23.91
20180125,24.16,23.24,23.24,23.86
20180126,24.5,23.57,23.57,23.89
20180127,24.75,23.93,23.93,24.19
20180128,24.77,24.05,24.05,24.25
20180129,24.44,23.72,23.72,23.97
20180130,24.66,23.81,23.81,23.92
20180131,23.96,22.78,22.78,22.98
20180201,23.41,22.26,22.26,22.96
20180202,23.57,22.53,22.53,23.36
20180203,24.14,23.37,23.37,23.93
20180204,24.38,23.52,23.52,24.24
20180205,24.49,23.9,23.9,24.57
20180206,23.98,23.63,23.63,24.12
20180207,24.19,24.02,24.02,24.31
20180208,24.25,24.2,24.2,24.47
20180209,24.24,24.22,24.22,24.37
20180210,24.4,24.36,24.36,24.44
20180211,24.64,24.69,24.69,24.73
20180212,24.66,24.62,24.62,24.61
20180213,24.54,24.53,24.53,24.53
20180214,24.42,24.34,24.34,24.35
20180215,24.51,24.37,24.37,24.41
20180216,24.73,24.53,24.53,24.64
20180217,24.87,24.7,24.7,24.84
20180218,25,24.85,24.85,25.01
20180219,25.11,25.01,25.01,25.12
20180220,25.17,25.07,25.07,25.19
20180221,25.21,25.13,25.13,25.29
20180222,25.24,25.13,25.13,25.29
